track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,0.951,0.6,0.0,-4.675,0.0,0.0685,0.106,0.0,0.0712,0.822,125.04,4.0
spotify:track:5wzEKaovqFK2LXKKzScukl,0.702,0.626,0.0,-8.448,0.0,0.0298,0.0744,2e-05,0.072,0.799,125.199,4.0
spotify:track:7z73ehYAn9O1XP9XlCqVtd,0.719,0.616,1.0,-3.951,1.0,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,4.0
spotify:track:33XpXmKmVTopPKnxTgbVOD,0.704,0.247,0.0,-8.736,1.0,0.0297,0.64,1.72e-06,0.085,0.236,86.952,4.0
spotify:track:093UVG0vgKjxj4UDjLIulw,0.737,0.784,7.0,-7.902,1.0,0.0777,0.00682,0.2,0.537,0.587,99.773,4.0
spotify:track:043bfUkTydw0xJ5JjOT91w,0.632,0.88,2.0,-4.051,1.0,0.0463,0.0144,0.0021,0.118,0.338,129.007,4.0
spotify:track:4qjrCkcVbsYlitCqbBkeKe,0.574,0.238,7.0,-18.072,0.0,0.0476,0.365,1.32e-05,0.126,0.126,84.018,4.0
spotify:track:2EcsgXlxz99UMDSPg5T8RF,0.561,0.522,2.0,-5.857,1.0,0.0318,0.227,0.0,0.104,0.238,83.962,4.0
spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,0.392,0.629,5.0,-7.056,1.0,0.0335,0.718,3.76e-06,0.129,0.72,124.511,4.0
spotify:track:5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7.0,-5.444,1.0,0.0683,0.0132,0.0806,0.0929,0.199,180.007,4.0
spotify:track:0R7YVi7w41Dr9jU5vblAok,0.813,0.732,7.0,-5.636,1.0,0.03,0.0597,0.00137,0.0826,0.731,130.02,4.0
spotify:track:0CsM8VGDi38kusMv3pxyj1,0.742,0.533,0.0,-9.098,1.0,0.0288,0.459,0.148,0.064,0.391,97.395,4.0
spotify:track:5TvFfDlVoUWZvfqrhTJzD7,0.464,0.321,2.0,-11.12,1.0,0.0418,0.877,0.0,0.0789,0.306,93.528,4.0
spotify:track:6uBhi9gBXWjanegOb2Phh0,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04,4.0
spotify:track:2Sy1KFLXBQjxqj6lCeIBCB,0.638,0.803,8.0,-5.467,0.0,0.0681,0.0244,0.0,0.169,0.756,128.035,4.0
spotify:track:77TT8Xvx637TpzV8kKGkUw,0.604,0.788,0.0,-3.673,0.0,0.103,0.0678,0.153,0.127,0.301,126.06,4.0
spotify:track:1zGzAMc21oKstWlEvXRp2i,0.617,0.658,0.0,-9.223,1.0,0.0512,0.494,0.0,0.293,0.949,128.363,4.0
spotify:track:0xdTHRkRv4sTrNikBNiz1u,0.593,0.834,2.0,-6.007,0.0,0.0353,0.0486,0.000584,0.115,0.813,148.719,4.0
spotify:track:6nM9Sr6MPcfpqwQTD7PZGi,0.787,0.848,1.0,-4.696,1.0,0.0549,0.0915,0.0,0.15,0.947,121.989,4.0
spotify:track:45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,4.0
spotify:track:7DHjerIyPHNokLIQOmbo9b,0.585,0.973,2.0,-2.894,1.0,0.0733,0.00676,5.21e-05,0.262,0.958,161.05,4.0
spotify:track:10SDxx0CFWGqgVVBeX22TP,0.644,0.595,1.0,-6.877,1.0,0.215,0.121,0.0,0.279,0.554,148.889,3.0
spotify:track:4du0TY3NTgvQGlelrBHfDL,0.515,0.908,8.0,-4.632,1.0,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,4.0
spotify:track:6SLTPbDxDYR0uSMTT7gSb7,0.725,0.844,11.0,-3.707,0.0,0.0347,0.363,0.000716,0.125,0.711,104.001,4.0
spotify:track:4Uc6BcPeBKfZUlX6jhumGv,0.694,0.81,11.0,-3.556,0.0,0.0661,0.122,0.0,0.141,0.824,137.968,4.0
spotify:track:7hJBjMGJHHQ4cR4Jhzp1d1,0.634,0.587,2.0,-6.595,1.0,0.03,0.271,0.0,0.165,0.623,105.642,4.0
spotify:track:3tFECpGckFpp0HpQje78gi,0.379,0.664,11.0,-6.863,1.0,0.0307,0.0167,0.000679,0.0915,0.301,115.272,4.0
spotify:track:12q3V8ShACq2PSWINMc2rC,0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,208.282,4.0
spotify:track:2M9ULmQwTaTGmAdXaXpfz5,0.633,0.673,6.0,-6.403,0.0,0.258,0.297,0.0,0.206,0.659,86.776,4.0
spotify:track:4MVA30NmvNtpbDon1ZG7mk,0.677,0.915,0.0,-3.859,1.0,0.0912,0.00121,0.916,0.322,0.545,124.929,4.0
spotify:track:2qkaOiJ0XetajJUP6ThgMB,0.769,0.721,2.0,-12.076,1.0,0.109,0.488,1.09e-06,0.316,0.857,123.057,4.0
spotify:track:6BnONjR7itGMEqwxKTIlRM,0.653,0.822,0.0,-4.857,1.0,0.033,0.00021,0.0047,0.0838,0.762,117.949,5.0
spotify:track:4Y2glvLjQGOb4dXnwm1hQf,0.42,0.969,1.0,-3.139,1.0,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,4.0
spotify:track:0QxCLD4xJlE8vv0Cvrb8TO,0.53,0.59,11.0,-9.169,1.0,0.025,0.183,0.00227,0.0675,0.43,144.202,4.0
spotify:track:4ePP9So5xRzspjLFVVbj90,0.543,0.912,7.0,-10.71,1.0,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,4.0
spotify:track:6JHLoGr7Gss3HhBp5RdKiH,0.699,0.68,4.0,-3.607,0.0,0.0276,0.00993,0.0,0.11,0.578,94.979,4.0
spotify:track:2LWJYvdBdcG8JMFQ1zOduR,0.768,0.741,1.0,-9.252,0.0,0.0423,0.0234,7.2e-05,0.242,0.95,125.06,4.0
spotify:track:0mkRjDV6wzXg9rFUL1BEW0,0.629,0.721,5.0,-4.299,1.0,0.0287,0.0395,0.0,0.349,0.787,159.951,4.0
spotify:track:7utcI11TJOG04Vl3noomNX,0.421,0.66,8.0,-8.106,1.0,0.0407,0.152,0.444,0.0948,0.512,119.46,4.0
spotify:track:5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0.0,-4.782,0.0,0.0933,0.135,0.0,0.11,0.302,169.533,4.0
spotify:track:78Rxtykmgn8XZTGyYBpaDn,0.653,0.845,4.0,-4.912,0.0,0.0352,0.219,0.0,0.921,0.552,123.086,4.0
spotify:track:5G5S96EyI1Y5g6SpRSHbrb,0.216,0.544,5.0,-8.132,1.0,0.0431,0.663,0.0,0.882,0.301,75.017,4.0
spotify:track:31sSFHIe4NaxltVFOEIcTa,0.783,0.435,7.0,-7.78,1.0,0.0588,0.282,0.0,0.0833,0.512,106.974,4.0
spotify:track:2fykwqa2RQzI6nBCwhTfqD,0.783,0.67,7.0,-3.935,1.0,0.0432,0.199,0.0,0.274,0.842,106.05,4.0
spotify:track:7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,4.0
spotify:track:0bNKoOshkbM0HmS3KXeM89,0.571,0.714,11.0,-5.005,1.0,0.0303,0.08,0.0,0.478,0.741,122.955,4.0
spotify:track:13j7S1J1MVDY3z2Ljl9O1H,0.648,0.72,11.0,-3.514,1.0,0.05,0.00266,0.0,0.0717,0.594,108.012,4.0
spotify:track:04iCsRraf8cH2HnS26BuwY,0.937,0.98,2.0,-5.037,1.0,0.0473,0.0566,0.000373,0.0273,0.939,122.007,4.0
spotify:track:4hrae8atte6cRlSC9a7VCO,0.839,0.706,5.0,-6.104,0.0,0.199,0.208,0.0,0.242,0.839,96.673,4.0
spotify:track:5MWKU5MnIuv5uQez4n0byz,0.852,0.591,5.0,-8.668,0.0,0.0675,0.103,0.421,0.0468,0.826,115.592,4.0
spotify:track:5RBPXlIiZVrr8hab7LpRJB,0.702,0.588,0.0,-9.739,1.0,0.0321,0.0805,0.0193,0.184,0.728,121.738,4.0
spotify:track:7ddUIAiI2kH0rLBbi27wrH,0.557,0.38,0.0,-12.645,1.0,0.0259,0.776,0.0667,0.0989,0.569,99.83,4.0
spotify:track:3mYh6egfMyl0Dek8r9ciK6,0.753,0.834,4.0,-6.516,1.0,0.115,0.212,2.93e-05,0.259,0.852,131.909,4.0
spotify:track:76qB2ZEZlEJAMqMqUjKusp,0.52,0.363,1.0,-12.655,1.0,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,4.0
spotify:track:4xCVHlmzEyIn1t4gXYsMaf,0.442,0.596,2.0,-6.327,0.0,0.0281,0.037,4.46e-06,0.172,0.497,83.414,4.0
spotify:track:4mnTMsp8Cgf9TNiQMhH11L,0.7,0.465,4.0,-6.815,1.0,0.358,0.544,0.0,0.606,0.719,108.102,4.0
spotify:track:5IRWgQiN0c2i4U97iE3OoY,0.542,0.444,4.0,-11.567,0.0,0.0295,0.212,0.0519,0.102,0.827,171.719,4.0
spotify:track:70JrLEkI7q8R0xkWI0YU96,0.715,0.733,1.0,-7.068,1.0,0.262,0.134,0.0,0.157,0.897,87.665,4.0
spotify:track:69YyPU1oElukhL5jgMi2wA,0.706,0.719,2.0,-4.239,1.0,0.0573,0.00706,0.0,0.0377,0.495,126.112,4.0
spotify:track:40ay0VMg01sF2trze2DrNL,0.553,0.843,7.0,-8.398,1.0,0.0489,0.00307,0.0,0.0818,0.834,177.113,4.0
spotify:track:66CFbqJScx6zRieGllITcs,0.689,0.481,10.0,-7.503,1.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4.0
spotify:track:1KONmY3enP3r3nIPQidWAy,0.744,0.697,8.0,-14.753,1.0,0.0631,0.039,0.0,0.171,0.683,119.955,4.0
spotify:track:4MPTj8lMMvxLwT3EwuXFop,0.449,0.599,1.0,-4.892,1.0,0.0369,0.211,0.0,0.327,0.165,134.144,3.0
spotify:track:0FExfsU24F7hO8f1UOtApd,0.379,0.494,10.0,-6.817,1.0,0.0271,0.685,6.33e-06,0.204,0.231,142.342,3.0
spotify:track:7s25THrKz86DM225dOYwnr,0.805,0.558,0.0,-5.226,1.0,0.041,0.164,2.2e-05,0.0546,0.965,114.95,4.0
spotify:track:3h9mCACYWP4iDVFEBhyyYC,0.801,0.961,10.0,-7.027,0.0,0.0604,0.00765,7.7e-05,0.0639,0.909,120.378,4.0
spotify:track:3zByVQLvdXUaDTubfWkpCk,0.529,0.127,11.0,-16.066,1.0,0.0274,0.611,0.000109,0.237,0.578,63.05,4.0
spotify:track:4qO03RMQm88DdpTJcxlglY,0.56,0.825,2.0,-6.711,0.0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,4.0
spotify:track:0JCAezTC5IlK1a9o0YBEsD,0.731,0.355,8.0,-12.741,1.0,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,4.0
spotify:track:0lefFBLiBwU0Qu24NRazZ3,0.643,0.765,2.0,-8.602,1.0,0.0933,0.00157,0.00977,0.169,0.868,137.979,4.0
spotify:track:4dVbhS6OiYvFikshyaQaCN,0.398,0.927,9.0,-4.212,1.0,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,4.0
spotify:track:2NniAhAtkRACaMeYt48xlD,0.591,0.935,6.0,-2.664,1.0,0.0478,0.000284,0.000278,0.142,0.736,140.043,4.0
spotify:track:5edBgVtRD0fvWk140Sl21T,0.662,0.71,1.0,-4.945,0.0,0.0364,0.0603,0.0,0.119,0.465,121.979,4.0
spotify:track:6DU7X9yhp4xgkhNHJxgEOZ,0.254,0.761,7.0,-3.744,1.0,0.0472,0.0006,0.0004,0.265,0.412,118.752,4.0
spotify:track:6eypw7fGYBtYxD3dCE2pld,0.867,0.714,4.0,-5.144,1.0,0.0662,0.0224,0.704,0.104,0.623,123.974,4.0
spotify:track:0EPZixF5ti4OsA8lYrerrg,0.761,0.484,10.0,-14.976,1.0,0.0381,0.366,2.81e-05,0.189,0.826,110.45,4.0
spotify:track:0YWUf0FuvbOvAlrOAVaH8S,0.773,0.721,3.0,-12.574,1.0,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,4.0
spotify:track:6Q25js1UmXo9I5HZJbZlRM,0.558,0.268,11.0,-17.915,1.0,0.0299,0.791,0.00488,0.0863,0.432,84.559,4.0
spotify:track:6SCsRA5HxLfOtN4sQN2Lkl,0.709,0.869,1.0,-3.209,1.0,0.124,0.103,0.0,0.0769,0.773,99.906,4.0
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,0.661,0.651,7.0,-3.771,0.0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,4.0
spotify:track:2V65y3PX4DkRhy1djlxd9p,0.612,0.84,11.0,-3.145,0.0,0.0509,0.112,0.0,0.116,0.438,129.042,4.0
spotify:track:1y5V5qja332UyMeUurFhDS,0.551,0.882,2.0,-6.808,1.0,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,4.0
spotify:track:3maCmHhpmJ6hzJjEnm0ieT,0.498,0.634,3.0,-5.214,1.0,0.0288,0.166,0.0,0.3,0.36,144.104,4.0
spotify:track:0p1cpgsmrHcYJ4kOvOSPsw,0.334,0.557,6.0,-5.961,0.0,0.0496,0.155,1.66e-06,0.106,0.362,197.622,3.0
spotify:track:6EbduYTr62sSzvl36wWiFM,0.631,0.796,1.0,-5.35,1.0,0.0401,0.000245,0.0115,0.38,0.596,92.469,4.0
spotify:track:5MTqczrMNkxZbFghiopgHL,0.663,0.777,11.0,-4.954,0.0,0.109,0.277,0.0,0.0466,0.758,92.681,4.0
spotify:track:4BleCosIwhk39RY0YuZ7q5,0.69,0.883,1.0,-4.091,1.0,0.322,0.0103,0.0,0.344,0.642,123.123,4.0
spotify:track:6N7gPTru90HYLRUIVDQ185,0.653,0.666,6.0,-7.808,1.0,0.0249,0.0508,0.0466,0.139,0.765,128.505,4.0
spotify:track:2ezqQeBiC72gwMJoO4w1hA,0.654,0.417,5.0,-7.699,1.0,0.025,0.0624,0.0,0.0963,0.279,143.676,4.0
spotify:track:6m3Lr9MgnLrWTKM33UppRA,0.768,0.815,9.0,-9.302,1.0,0.0355,0.175,0.0,0.065,0.907,125.393,4.0
spotify:track:5RC9olve1FVs1bnIneatm8,0.757,0.905,5.0,-6.771,0.0,0.0338,0.00254,0.0012,0.0357,0.621,125.002,4.0
spotify:track:3xjLAPMsYy32W9oFHsSsGl,0.569,0.472,7.0,-10.138,1.0,0.0313,0.536,1.44e-05,0.1,0.346,145.513,3.0
spotify:track:7vS3Y0IKjde7Xg85LWIEdP,0.66,0.805,1.0,-5.352,0.0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,4.0
spotify:track:3iuDPdkt1l3L4MH1kPIuGc,0.32,0.426,5.0,-14.143,1.0,0.0644,0.0044,0.000319,0.64,0.429,175.895,4.0
spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.384,0.921,11.0,-3.334,1.0,0.055,0.0948,0.0,0.168,0.471,89.922,4.0
spotify:track:0ildbAb2xouV6u4fsix9r3,0.571,0.636,10.0,-6.877,1.0,0.0305,0.0222,0.0,0.0748,0.96,145.241,3.0
spotify:track:3EkEomllpfXPPIGVFvZcEq,0.681,0.889,0.0,-3.58,1.0,0.0374,0.164,0.0,0.207,0.833,123.661,4.0
spotify:track:2eHj0klWkwRQuIrNlPpCPa,0.665,0.847,5.0,-8.314,0.0,0.0535,0.0178,0.00288,0.126,0.4,119.555,4.0
spotify:track:2UaJdr9yD2S0bi9cDhIiEP,0.799,0.314,7.0,-9.627,1.0,0.512,0.164,0.0,0.158,0.842,166.064,4.0
spotify:track:2UTxbNsUMfXGetZH7CUzoc,0.405,0.517,0.0,-4.696,1.0,0.0274,0.68,0.0,0.0918,0.325,102.678,3.0
spotify:track:4DNKFfL7Q1JTOHzmADofwL,0.724,0.804,1.0,-14.508,0.0,0.0502,0.0559,0.0895,0.214,0.437,141.86,4.0
spotify:track:5TM2eqdzfWPHklI7YnBmsD,0.701,0.261,0.0,-19.846,1.0,0.0938,0.219,0.0,0.0821,0.89,97.042,4.0
spotify:track:0g8Dq6OpSmWengqtLrVr77,0.633,0.564,8.0,-7.789,0.0,0.0701,0.135,0.0,0.201,0.648,164.008,4.0
spotify:track:0kAqXgYBiJp5euIc4H1Aa4,0.507,0.833,1.0,-4.658,0.0,0.035,0.0351,0.0,0.259,0.649,95.978,4.0
spotify:track:2e0nVBn2Qj5DPvcLFGfH5W,0.802,0.962,8.0,-7.28,1.0,0.0415,0.00363,0.0794,0.312,0.966,127.035,4.0
spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,0.613,0.72,0.0,-7.957,1.0,0.0425,0.0132,0.0,0.104,0.561,117.341,4.0
spotify:track:0FcWutmFaffgmSchemHj4h,0.604,0.622,7.0,-7.782,1.0,0.0469,0.0943,0.00577,0.204,0.424,126.238,4.0
