track_id,track_name,album_id,disc_number,track_number,duration_ms,preview_url,is_explicit,popularity,isrc
spotify:track:2Sy1KFLXBQjxqj6lCeIBCB,Oh My Goodness,spotify:album:2OvZ8JCShhvxNkptwoGjve,1,2,184013,https://p.scdn.co/mp3-preview/466604336fce9270dd47d9fcf488a4900ce0031f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,43,GBARL1101196
spotify:track:77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia),spotify:album:08DAekBeqPRCsn3XHDwj6b,1,13,245040,https://p.scdn.co/mp3-preview/6c3e9bbcebdbfa7875c6a56c2bb4da2a870c250b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,GB28K1100036
spotify:track:1zGzAMc21oKstWlEvXRp2i,Dream Girl,spotify:album:6itPRfFQncP30pMqNV7Pvh,1,8,136293,https://p.scdn.co/mp3-preview/66297121c72ff399afb8c18e8768afa75e5ed227?cid=9950ac751e34487dbbe027c4fd7f8e99,False,7,USRH11102280
spotify:track:0xdTHRkRv4sTrNikBNiz1u,View From a Bridge,spotify:album:6NPoxEiMqOpHZyymu1Begh,1,11,210946,https://p.scdn.co/mp3-preview/864986018b340b41c21f03dbbd5c9d1ed5cb5884?cid=9950ac751e34487dbbe027c4fd7f8e99,False,17,GBAYE8200218
spotify:track:6nM9Sr6MPcfpqwQTD7PZGi,Wrapped Up (feat. Travie McCoy),spotify:album:0jD1tOJpP0Qz8UcLq3FFkr,1,2,185640,,False,0,GBARL1400826
spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,spotify:album:1RWiRfdNZKDe8VXzzf2VEc,1,1,169265,https://p.scdn.co/mp3-preview/388d1bd4858bcfbfb3bdcde4d6626cc771b635dd?cid=9950ac751e34487dbbe027c4fd7f8e99,True,85,USRC12000832
spotify:track:7DHjerIyPHNokLIQOmbo9b,Like It Like That,spotify:album:5mrXvDnW1MK275vDsplMIF,1,1,241973,https://p.scdn.co/mp3-preview/5201361a876cfec9fc5da2aaaea7e56171b3a682?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,AUBM00900190
spotify:track:10SDxx0CFWGqgVVBeX22TP,No Pressure,spotify:album:7fZH0aUAjY3ay25obOUf2a,1,7,286853,,False,0,USUM71516763
spotify:track:4du0TY3NTgvQGlelrBHfDL,I Wanna Be With You,spotify:album:4XbSwLzvznYCophbz8ElMV,1,1,252600,https://p.scdn.co/mp3-preview/d2e736f80c6f29fc6bb26a02f721f4ef8114e3f4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,USSM10008006
spotify:track:6SLTPbDxDYR0uSMTT7gSb7,I'm In Control,spotify:album:6KuHbuDiJNcgEvnLTnfQcY,1,7,209426,https://p.scdn.co/mp3-preview/6b8f2dd5b2f654f91707fc1c67ba75e7c9ca3788?cid=9950ac751e34487dbbe027c4fd7f8e99,False,55,GBUM71507516
spotify:track:4Uc6BcPeBKfZUlX6jhumGv,Can't Remember to Forget You,spotify:album:3pIrfgAYjBpTBBKgtrwKgZ,1,2,206866,,False,0,USRC11301790
